feature_name,description,reason_code,direction
fraud_bool,不正か否か,不正判定,
income,申込者の年間所得,所得が異常,低いほどリスク上昇
current_address_months_count,現在の住所に居住している月数,居住期間が短い,短いほどリスク上昇
customer_age,申込者の年齢,年齢が異常,極端な値でリスク上昇
zip_count_4w,過去4週間に同じ郵便番号で行われた申込件数,同一郵便番号の申込が多い,多いほどリスク上昇
velocity_6h,過去6時間の申込速度,短時間での申込が多い,多いほどリスク上昇
velocity_24h,過去24時間の申込速度,1日での申込が多い,多いほどリスク上昇
velocity_4w,過去4週間の申込速度,4週間での申込が多い,多いほどリスク上昇
bank_branch_count_8w,過去8週間に特定支店で行われた申込件数,同一支店での申込が多い,多いほどリスク上昇
date_of_birth_distinct_emails_4w,過去4週間に同じ生年月日で使用されたメールアドレスの件数,同一生年月日で複数メール使用,多いほどリスク上昇
credit_risk_score,申込リスクの内部スコア,内部リスクスコアが高い,高いほどリスク上昇
phone_home_valid,固定電話番号の有効性,固定電話番号が無効,無効でリスク上昇
phone_mobile_valid,携帯電話番号の有効性,携帯電話番号が無効,無効でリスク上昇
has_other_cards,同じ銀行会社の他カードを保有しているか,他カード保有状況,異常でリスク上昇
proposed_credit_limit,申込者が提案したクレジット限度額,申請限度額が異常,異常でリスク上昇
session_length_in_minutes,銀行サイトでのユーザーセッション時間,セッション時間が異常,異常でリスク上昇
keep_alive_session,セッション終了時のログアウトオプション,ログアウト設定が異常,異常でリスク上昇
device_distinct_emails_8w,過去8週間に同じデバイスで使用された異なるメールアドレスの件数,同一デバイスで複数メール使用,多いほどリスク上昇
month,申込が行われた月,申込月が異常,特定月でリスク上昇
email_domain_fraud_rate,そのメールと同一ドメイン名の不正割合,メールドメインの不正率が高い,高いほどリスク上昇
country_fraud_rate,同一国の不正割合,居住国の不正率が高い,高いほどリスク上昇
limit_income_ratio,収入に対する申請額の割合,収入比申請額が高い,高いほどリスク上昇